# WC Macro Evidence 1998-2007
# Sources:
#   medical_cpi       : BLS CPI-U Medical Care, annual % change (calendar year)
#   gdp_growth        : BEA Real GDP, annual % change
#   unemployment_rate : BLS U-3 annual average unemployment rate (%)
#   payroll_growth    : BLS Quarterly Census of Employment & Wages, total private
#                       payroll YoY % change (proxy for WC exposure base)
#   tort_reform_index : 0-1 index: 1 = major tort reform enacted in that year;
#                       WCRI documents 1998-2004 wave of state-level reforms
accident_year,medical_cpi,gdp_growth,unemployment_rate,payroll_growth,tort_reform_index
1998,3.4,4.5,4.5,5.2,0.0
1999,3.5,4.8,4.2,5.8,0.0
2000,4.1,4.1,4.0,6.1,0.1
2001,4.6,1.0,4.7,0.2,0.3
2002,5.0,1.7,5.8,-1.4,0.5
2003,4.0,2.9,6.0,0.9,0.7
2004,4.4,3.8,5.5,3.2,0.8
2005,4.2,3.3,5.1,4.5,0.6
2006,3.7,2.7,4.6,4.8,0.4
2007,3.8,1.8,4.6,4.1,0.2
